Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_15x7.5RM7.6,1,Buzzer,C2693577
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D3, D4, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28,WS2812B,C22461793
D29,805,1,LED,C5160698
J1,PinHeader_1x03_P2.54mm_Vertical,1,DHT11,C6332211
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C19274017
M1,XIAO_ESP32C3,1,MOUDLE-SEEEDUINO-XIAO,
R1,805,1,100,C115423
