Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"1"	"25X48MM_NFC_ANTENNA"	"33.53mm"	"68.33mm"	"22.1mm"	"68.33mm"	"35.43mm"	"68.96mm"	"T"	"270"	"25X48MM_NFC_ANTENNA"
"C1"	"C0603"	"42.8mm"	"67.82mm"	"42.8mm"	"67.82mm"	"42.8mm"	"67.12mm"	"T"	"90"	"220nF"
"LED1"	"LED0805-R-RD"	"66.17mm"	"60.33mm"	"66.17mm"	"60.33mm"	"67.22mm"	"60.33mm"	"T"	"0"	"17-21SUYC/TR8"
"R1"	"R0603"	"45.97mm"	"67.56mm"	"45.97mm"	"67.56mm"	"45.97mm"	"66.81mm"	"T"	"90"	"47Ω"
"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH"	"39.24mm"	"67.95mm"	"39.24mm"	"67.95mm"	"38.64mm"	"68.45mm"	"T"	"0"	"NT3H2111W0FHKH"
