Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"1"	"25X48MM_NFC_ANTENNA"	"32.39mm"	"69.22mm"	"20.96mm"	"69.22mm"	"34.29mm"	"69.85mm"	"T"	"270"	"25X48MM_NFC_ANTENNA"
"C1"	"C0603"	"44.96mm"	"58.93mm"	"44.96mm"	"58.93mm"	"44.26mm"	"58.93mm"	"T"	"0"	"220nF"
"LED1"	"LED0805-R-RD"	"37.08mm"	"54.23mm"	"37.08mm"	"54.23mm"	"38.13mm"	"54.23mm"	"T"	"0"	"17-21SUYC/TR8"
"R1"	"R0603"	"44.7mm"	"54.48mm"	"44.7mm"	"54.48mm"	"43.95mm"	"54.48mm"	"T"	"0"	"47Ω"
"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH"	"44.83mm"	"64.14mm"	"44.83mm"	"64.14mm"	"44.23mm"	"64.64mm"	"T"	"0"	"NT3H2111W0FHKH"
