Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"1"	"25X48MM_NFC_ANTENNA"	"63.88mm"	"-25.15mm"	"75.31mm"	"-25.15mm"	"61.98mm"	"-25.78mm"	"T"	"90"	"25X48MM_NFC_ANTENNA"
"C1"	"C0603"	"57.02mm"	"-22.86mm"	"57.02mm"	"-22.86mm"	"56.32mm"	"-22.86mm"	"T"	"0"	"220nF"
"LED1"	"LED0805-R-RD"	"39.88mm"	"-45.21mm"	"39.88mm"	"-45.21mm"	"40.93mm"	"-45.21mm"	"T"	"0"	"17-21SUYC/TR8"
"R1"	"R0603"	"57.28mm"	"-28.07mm"	"57.28mm"	"-28.07mm"	"56.52mm"	"-28.07mm"	"T"	"0"	"47Ω"
"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL"	"60.07mm"	"-25.65mm"	"60.07mm"	"-25.65mm"	"60.57mm"	"-25mm"	"T"	"180"	"NT3H2111W0FHKH"
