ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Resistance (Ohms)
1,CL10B224KA8NNNC,C1,C0603,1,CL10B224KA8NNNC,SAMSUNG(??),LCSC,C21120,
2,17-21SUYC/TR8,LED1,LED0805-R-RD,1,KT-0805??,KENTO,LCSC,C2296,
3,0603WAF470JT5E,R1,R0603,1,0603WAF470JT5E,UNI-ROYAL(??),LCSC,C23182,47
4,NT3H2111W0FHKH,U1,XQFN-8_L1.6-W1.6-P0.50-BL,1,NT3H2111W0FHKH,NXP(???),LCSC,C710403,
