Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"1"	"25X48MM_NFC_ANTENNA"	"34.18mm"	"79.62mm"	"34.04mm"	"68.45mm"	"33.4mm"	"81.76mm"	"T"	"0"	"25X48MM_NFC_ANTENNA"
"C1"	"C0603"	"17.68mm"	"35.74mm"	"17.68mm"	"35.74mm"	"16.98mm"	"35.74mm"	"T"	"0"	"220nF"
"LED1"	"LED0805-R-RD"	"10.88mm"	"35.49mm"	"10.88mm"	"35.49mm"	"11.93mm"	"35.49mm"	"T"	"0"	"17-21SUYC/TR8"
"R1"	"R0603"	"22.74mm"	"35.74mm"	"22.74mm"	"35.74mm"	"21.98mm"	"35.74mm"	"T"	"0"	"47Ω"
"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL"	"27.43mm"	"35.31mm"	"27.43mm"	"35.31mm"	"26.93mm"	"34.66mm"	"T"	"0"	"NT3H2111W0FHKH"
