Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"1"	"25X48MM_NFC_ANTENNA"	"63.25mm"	"-25.65mm"	"74.68mm"	"-25.65mm"	"61.34mm"	"-26.29mm"	"T"	"90"	"25X48MM_NFC_ANTENNA"
"C1"	"C0603"	"53.98mm"	"-35.81mm"	"53.98mm"	"-35.81mm"	"53.98mm"	"-35.11mm"	"T"	"270"	"220nF"
"LED1"	"LED0805-R-RD"	"52.96mm"	"-3.56mm"	"52.96mm"	"-3.56mm"	"51.91mm"	"-3.56mm"	"T"	"180"	"LED0805-R-RD"
"R1"	"R0603"	"50.8mm"	"-35.94mm"	"50.8mm"	"-35.94mm"	"50.8mm"	"-35.19mm"	"T"	"270"	"47Ω"
"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL"	"57.91mm"	"-35.81mm"	"57.91mm"	"-35.81mm"	"58.41mm"	"-35.16mm"	"T"	"180"	"NT3H2111W0FHKH"
