ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price	Pins	3DModel	Contributor	JLCPCB Part Class	link
"1"	"25X48MM_NFC_ANTENNA"	"1"	"25X48MM_NFC_ANTENNA"	"1"	""	""	""	""	""	"2"	""	"Dan Schnur"	""	""
"2"	"220nF"	"C1"	"C0603"	"1"	"CL10B224KA8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C21120"	"0.006"	"2"	"C0603_L1.6-W0.8-H0.8"	"lcsc"	"Basic Part"	"https://item.szlcsc.com/362304.html"
"3"	"47Ω"	"R1"	"R0603"	"1"	"0603WAF470JT5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C23182"	"0.001"	"2"	"R0603"	"lcsc"	"Basic Part"	"https://www.mouser.in/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_11-1669912.pdf"
"4"	"NT3H2111W0FHKH"	"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL"	"1"	"NT3H2111W0FHKH"	"NXP(恩智浦)"	"LCSC"	"C710403"	""	"9"	"XQFN-8_L1.6-W1.6-H0.5-P0.50"	"LCSC"	"Extended Part"	"https://lcsc.com/product-detail/RF-Chips_NXP-Semicon_NT3H1101W0FHKH_NXP-Semicon-NT3H1101W0FHKH_C73156.html"
"5"	"LED0805-R-RD"	"LED1"	"LED0805-R-RD"	"1"	"Yellow green 0805"	"KENTO"	"LCSC"	"C2292"	"0.015"	"2"	"LED0805-RD"	"lcsc"	"Extended Part"	"https://lcsc.com/eda_search?q=C2292&%26type=1&ref=editor"
