Designator,Footprint,Quantity,Value,LCSC Part #
"C68, C69, C70, C71, C72",0402,5,100n,C1525
J1,FPC-SMD_12P-P0.50_HCTL_HC-FPC-05-10-12RLTAG,1,HC-FPC-05-10-12RLTAG,C5213732
"U0:0, U0:1, U0:10, U0:11, U0:12, U0:13, U0:14, U0:2, U0:3, U0:4, U0:5, U0:6, U0:7, U0:8, U0:9, U1:0, U1:1, U1:10, U1:11, U1:12, U1:13, U1:14, U1:2, U1:3, U1:4, U1:5, U1:6, U1:7, U1:8, U1:9, U2:0, U2:1, U2:10, U2:11, U2:12, U2:13, U2:2, U2:3, U2:4, U2:5, U2:6, U2:7, U2:8, U2:9, U3:1, U3:10, U3:11, U3:12, U3:13, U3:2, U3:3, U3:4, U3:5, U3:6, U3:7, U3:8, U3:9, U4:1, U4:10, U4:12, U4:13, U4:14, U4:2, U4:3, U4:5, U4:7, U4:9",SOT-23,67,GH39FKSW,C266230
"U1, U2, U3, U4, U5",SSOP-24_5.3x8.2mm_P0.65mm,5,CD4067BPWR,C2861251
