Comment,Designator,Footprint,LCSC,Quantity
220nF,C1,C_0603_1608Metric,C21120,1
LED,D1,LED_0805_2012Metric,C2296,1
47Ω,R1,R_0603_1608Metric,C23182,1
13.56MHz,U1,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,C710403,1
