Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"CN1"	"WAGO 2601-1110 2"	"73.28mm"	"8.17mm"	"89.03mm"	"10.67mm"	"89.03mm"	"10.67mm"	"T"	"180"	"WAGO 2601-1110"
"CN2"	"WAGO 2601-1110 2"	"73.28mm"	"42.63mm"	"57.53mm"	"40.13mm"	"57.53mm"	"40.13mm"	"T"	"0"	"WAGO 2601-1110"
"CN3"	"WAGO 2601-1110 2"	"35.94mm"	"8.17mm"	"51.69mm"	"10.67mm"	"51.69mm"	"10.67mm"	"T"	"180"	"WAGO 2601-1110"
"CN4"	"WAGO 2601-1110 2"	"35.94mm"	"42.63mm"	"20.19mm"	"40.13mm"	"20.19mm"	"40.13mm"	"T"	"0"	"WAGO 2601-1110"
"PCM"	"WAGO 2601-1104"	"99.35mm"	"25.43mm"	"101.85mm"	"27.18mm"	"101.85mm"	"20.18mm"	"T"	"180"	"WAGO 2601-1104"
"ROBORIO"	"WAGO 2601-1104"	"9.87mm"	"25.37mm"	"7.37mm"	"23.62mm"	"7.37mm"	"30.62mm"	"T"	"0"	"WAGO 2601-1104"
