ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"ATTINY85/USB"	"U1"	"DIGISPARK"	"1"	""	""	""	""	""
"2"	"K2-3.6×6.1_SMD"	"KEY1"	"KEY-SMD_2P-L6.2-W3.6-LS8.0"	"1"	"K2-1107ST-A4SW-06"	""	"LCSC"	"C118141"	"0.061"
"3"	"OLED-0.96""-SSD1306"	"U2"	"OLED-0.96""-SSD1306"	"1"	""	""	""	""	""
"4"	"10µF"	"C1"	"C0603"	"1"	""	""	""	""	""
"5"	"HDR-M-2.54_1x1"	"J1,J2"	"HDR-M-2.54_1X1"	"2"	""	""	"LCSC"	"C81276"	"0.007"
"6"	"10kΩ"	"R1"	"R0603"	"1"	""	""	""	""	""
