Designator,Footprint,Quantity,Value,LCSC Part #
ATTINY44A,ATTiny44a-MU,1,ATTINY44A-MU,
BATT,1800408,1,Battery,
LED1,Green led,1,LED,
Motor,1800408,1,1800408,
R1,0402,1,270,
R2,0402,1,200,
R3,0402,1,1000,
R4,0402,1,300,
Switch,JS102011JCQN,1,JS102011JCQN,
