Designator,Footprint,Quantity,Value,LCSC Part #
FB1,0603,1,120R,C76892
J1,FPC-SMD_12P-P0.50_HCTL_HC-FPC-05-10-12RLTAG,1,HC-FPC-05-10-12RLTAG,C5213732
J2,PinHeader_2x06_P2.54mm_Horizontal,1,Conn_02x06_Odd_Even,
