Designator,Mid X,Mid Y,Rotation,Layer
,200.625,-39.5,180.0,top
C1,188.8,-32.5,0.0,top
LED1,181.5,-31.5,0.0,top
R1,183.75,-36.0,0.0,top
U1,193.9,-33.0,270.0,top
