Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"1"	"25X48MM_NFC_ANTENNA"	"63.12mm"	"-25.53mm"	"74.55mm"	"-25.53mm"	"61.21mm"	"-26.16mm"	"T"	"90"	"25X48MM_NFC_ANTENNA"
"C1"	"C0603"	"48.79mm"	"-24.59mm"	"48.79mm"	"-24.59mm"	"48.09mm"	"-24.59mm"	"T"	"0"	"220nF"
"LED1"	"LED0805-R-RD_GREEN"	"50.17mm"	"-3.81mm"	"50.17mm"	"-3.81mm"	"51.22mm"	"-3.81mm"	"T"	"0"	"17-21UGC/TR8"
"R1"	"R0603 LOCAL"	"53.85mm"	"-24.59mm"	"53.85mm"	"-24.59mm"	"53.08mm"	"-24.59mm"	"T"	"0"	"47Ω"
"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL"	"58.29mm"	"-24.89mm"	"58.29mm"	"-24.89mm"	"58.79mm"	"-24.24mm"	"T"	"180"	"NT3H2111W0FHKH"
