ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"25X48MM_NFC_ANTENNA"	"1"	"25X48MM_NFC_ANTENNA"	"1"	""	""	""	""	""
"2"	"220nF"	"C1"	"C0603"	"1"	"CL10B224KA8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C21120"	"0.006"
"3"	"17-21UGC/TR8"	"LED1"	"LED0805-R-RD_GREEN"	"1"	"17-21UGC/TR8"	"EVERLIGHT(亿光)"	"LCSC"	"C264418"	"0.047"
"4"	"47Ω"	"R1"	"R0603 LOCAL"	"1"	"0603WAF470JT5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C23182"	"0.001"
"5"	"NT3H2111W0FHKH"	"U1"	"XQFN-8_L1.6-W1.6-P0.50-BL"	"1"	"NT3H2111W0FHKH"	"NXP(恩智浦)"	"LCSC"	"C710403"	""
