Name	Designator	Footprint	Supplier Part
10uF	"C2,C1,C14,C13,C12,C11"	C0603	C19702
SL2.1A	U1	SOP-16_L10.0-W3.9-P1.27-LS6.0-BL	C6798314
100nF	"C3,C4"	C0805	C49678
5.1kΩ	"U5,U6"	R0603	C23186
TYPEC-304S-ACP16	USB6	USB-C-SMD_TYPEC-304S-ACP16	C2982555 
USB-231-ARY	"USB5,USB7,USB8,USB9"	USB-A-TH_USB-231-ARY	C720525
